date,info by,author_name,author_location,type of review,title,rated,time_posted,paragraph,date_of_experience,reply_author,reply_date,reply_paragraph,review_sentiment,reply_sentiment
2024-09-12 19:29:04,Info for Katherine Reng,Katherine Reng,US,Verified,Love the personal care,5.0,2024-08-18T18:34:49.000Z,"I started looking for HRT because of a whole stack of classic menopause symptoms, plus a couple that I didn’t realize were related. I’ve been using Winona for ten weeks, and several of my symptoms have disappointed and others are better. But what I am most impressed by with Winona is the time the doctor took to make sure to understand my experience and then recommend a change in my dosages.",18 August 2024,Reply from By Winona,2024-08-19T09:44:21.000Z,"Thank you for sharing your journey with us Katherine! It’s amazing to hear that after ten weeks, you’re already seeing improvements in so many of your menopause symptoms, even some you didn’t realize were related. What really stands out is how much care and attention your doctor gave to truly understand your experience and fine-tune your dosages. That level of personalized support is what we strive for, and we’re so glad it made a difference for you. Here’s to continued progress and feeling even better!",0.21166666666666667,0.328125
2024-09-12 19:29:06,Info for Carla Birchfield,Carla Birchfield,US,Verified,You have been so helpful,5.0,2024-08-26T20:49:47.000Z,"You have been so helpful, explained all I needed to know and so far I am feeling slightly better even though I am week 2. Can’t wait for 10 weeks. Thank you!",26 August 2024,Reply from By Winona,2024-08-27T09:43:57.000Z,"We’re so glad to hear that you’re already feeling some positive changes in just two weeks! Thank you for your kind words, and we’re here to support you every step of the way. We can’t wait to see how you feel at the 10-week mark!If you have any questions or need anything, just let us know.",0.3625,0.46136363636363636
2024-09-12 19:29:12,Info for Susan,Susan,US,Verified,The process has been very easy,5.0,2024-08-02T17:12:09.000Z,The process has been very easy. I have a hard time discussing such personal issues face to face with a Dr and this was so easy. I feel better overall. My aches and pains are almost gone. I’ve only been taking Winona for 10 weeks but painful sex is almost gone as well. Thank you Winona.,01 August 2024,Reply from By Winona,2024-08-05T13:40:52.000Z,"Even though menopause is a natural process, we understand that it can still be embarrassing to talk about personal issues with an in person provider, Susan. Our online platform allows women to confidently ask those hard questions that may not otherwise get asked.Our Facebook group also allows women to join together, compare experiences, and provide support to each other in a non-judgmental and uplifting space. We are thrilled that you are feeling better both physically and mentally!Thank you for the 5 stars!",0.056111111111111125,0.16041666666666665
2024-09-12 19:29:19,Info for Jo Ann,Jo Ann,US,Verified,Since starting Winona 10 weeks ago,5.0,2024-07-14T14:59:24.000Z,"Since starting Winona 10 weeks ago, the changes have been nothing short of wonderful! Very occasional hot flashes- I’m talking maybe one every few weeks as opposed to several a day! My clarity of thought came back- goodbye brain fog! You don’t realize how awful it really was until it is no more- my energy has come back and I have no more late afternoon exhaustion- this really is the best decision of self care that I have made in ages.",14 July 2024,Reply from By Winona,2024-07-15T13:52:44.000Z,"It is very true, Jo Ann, that we often don't realize how bad we feel until we feel better!The menopause transition can be one of the most life-altering experiences a woman will have. However, it doesn't have to be full of debilitating symptoms!It can be a chance to reflect on your well-being and take charge of your health so that you feel your absolute best!We applaud desire for self-care and greatly appreciate your trust in us!There is only one of you, and you deserve to be the best you that you can be!",0.04062500000000001,0.32562500000000005
2024-09-12 19:29:20,Info for Krista,Krista,US,Verified,No Changes Noticed,2.0,2024-07-09T18:03:53.000Z,Have been using for 10 weeks now and do not notice any changes. I've emailed Winona about these concerns but no one responded. Instead I got emails saying my next package was shipped and another email asking me to write a good review. This is not a good review,08 July 2024,Reply from By Winona,2024-07-10T12:35:46.000Z,"We apologize if there was any confusion regarding communication with your Winona doctor, Krista!It can sometimes take around 3 months to start to see positive changes.However, if you are not having any relief around the 10 week mark, your Winona doctor is happy to discuss adjusting your treatment plan!We do see that you completed your Follow Up on July 4th, and  your Winona doctor messaged you back on July 5th.A member of our Patient Care Team has emailed you for further support on how to check your messages :)",0.11666666666666665,0.3054545454545455
2024-09-12 19:29:23,Info for Jennifer,Jennifer,US,Verified,"Love, love, love Winona",5.0,2024-07-02T19:20:48.000Z,The comprehensive online appointment is easy and the doctor is very responsive with questions.  10 weeks in and I've not had any negative symptoms with my plan. I love that Winona periodically checks in to see how things going and I feel confident that my responses will be reviewed.,30 June 2024,Reply from By Winona,2024-07-03T12:26:21.000Z,"We work hard to earn your confidence is us, Jennifer!   We do review every single question and concern that our patients have, and we do all that we can to ensure that you have a positive experience with us. Your health is your most valuable asset and we take that very seriously. We are here to support you every step of the way through your menopause journey!",0.26666666666666666,-0.050081168831168844
2024-09-12 19:29:23,Info for Melissa Cabot,Melissa Cabot,US,Verified,Honest review!!,5.0,2024-07-02T01:37:43.000Z,"I was a little nervous at first but once I took the leap I haven’t looked back!! Started feeling better within 2weeks. I’m 10 weeks in…no more hot flashes, night sweats, fatigue and joint pain still fluctuates but not nearly as bad. The only side effect I’m having is breast tenderness. Looking forward to loosing some weight now that I’m feeling like my younger self!! Definitely a win win for me!!",01 July 2024,Reply from By Winona,2024-07-02T13:01:39.000Z,"Thank you for taking that leap of faith with Winona, Melissa!We understand it can be a little nerve wracking and scary to utilize an online platform for HRT, but we are here to support you at all times!It does sometimes take around 10-12 weeks for your body to fully acclimate to the influx of hormones, but once that happens,  most women report full resolution of their symptoms!Feeling like yourself again is definitely a win in our book!",0.31477272727272726,0.2325
2024-09-12 19:29:23,Info for Tracey,Tracey,US,Verified,In 10 weeks my hot flashes are G-O-N-E!,5.0,2024-07-01T16:16:50.000Z,"In 10 weeks my hot flashes are G-O-N-E! I am sleeping through the night most nights. I continue to have some other symptoms and was able to discuss those with my Winona doctor who suggested we tweak some things. He heard me, explained things a bit, and it feels like he’s with me in this twisted hormonal journey I’m on🤪. Overall? I am *feeling *better* and that is a huge relief.",30 June 2024,Reply from By Winona,2024-07-02T12:30:21.000Z,"GONE is a beautiful word when it pertains to menopause symptoms, Tracey, and we hope they stay that way!We are so happy to know that you are experiencing relief from your hot flashes and sleeping better.Your Winona doctor always wants you to feel supported in your journey, so please do reach out to them anytime for any questions or concerns.We appreciate your positive feedback and are glad you're feeling better!",0.1984375,0.49318181818181817
2024-09-12 19:29:23,Info for Denise,Denise,US,Verified,Pain has significanlty,5.0,2024-06-29T16:08:09.000Z,Ever since going through menopause I just haven’t felt like me. I went from doctor to doctor and was put on steroids for the past year because of my complaints about pains and aches. I knew in my heart that it was related to hormones. I can honestly say that after using Winona’s products for 10 weeks I have started to feel like me and the pains are barely there.,28 June 2024,Reply from By Winona,2024-07-01T12:31:36.000Z,"Thank you for sharing your experience Denise! Joint pain is real for so many women, and they often think or are told, that it is just part of the aging process! :(Listening to your heart is sometimes the very best thing to do!  It's wonderful to hear that you've found relief and are feeling more like yourself!  Thank you for taking time to let others know about your progress so far!",0.09999999999999999,0.4035714285714286
2024-09-12 19:29:25,Info for Jennefer,Jennefer,US,Verified,My experience with Winona has been life changing …,5.0,2024-06-27T15:46:38.000Z,My experience with Winona has been excellent! I am 10 weeks in and had questions in the first couple weeks and the team is very responsive. I’m taking the pill form and the DHEA had to be adjusted from 25 to 50 and that itself has made a huge impact on my energy. Before starting this program I barely had enough energy to get through the day. Now I can get through the day and enjoy the evening. I have also enjoyed the benefits of losing 10lbs and having an increase in my libido.,24 June 2024,Reply from By Winona,2024-06-28T12:47:27.000Z,"We are thrilled to hear that you are having such awesome results with Winona, Jennefer!Fatigue related to menopause is a real thing, which impacts other areas of your life.Women may not have the energy to do the things they once loved.  Often times, sleep is erratic, and not restorative. We tend to eat when we are tired, and then the weight gain comes.  It's all a vicious cycle!Supplementing your declining levels of hormones can restore your vitality and help you to enjoy your life again!We are happy to hear that your HRT has changed your life for the better!",0.3111111111111111,0.2333333333333333
2024-09-12 19:29:27,Info for Tia,Tia,US,Verified,So wonderful,5.0,2024-06-17T02:12:59.000Z,"So wonderful! Super communicative, anytime I have had a question I have gotten a prompt response! I have had the best results after being on the HRT for the past 10 weeks! My hot flashes are gone, I’m sleeping through the night, and my joint pain has subsided substantially!!! It has been a godsend!",16 June 2024,Reply from By Winona,2024-06-17T12:28:48.000Z,"We are thrilled to hear that our HRT treatment has brought such positive changes to your life., Tia! Resolving your symptoms is always a top priority for us, but we also want to make sure that we provide clear, prompt, and reassuring support.We are happy to help anytime!Thank you for the 5 stars!Your feedback means the world to us.",0.5429036458333333,0.39772727272727276
2024-09-12 19:29:30,Info for Julie Duncan,Julie Duncan,US,Verified,Support & Relief,5.0,2024-06-05T21:55:40.000Z,"I was hesitant to choose an online doc but with an online life and busy schedule I found it to be a great option. I have asked questions and received prompt responses from the medical team. I feel so much better 10 weeks into treatment. My sleep, energy, mood and symptoms are all improved. I wish I had started earlier!",04 June 2024,Reply from By Winona,2024-06-06T12:51:51.000Z,"Julie, thank you for sharing your experience here! :)We know that some people may be hesitant to use an online company for obtaining medications, but we work very hard to make the process easy and convenient. Sleep is everything, so it's not surprising to hear that you are also experiencing other symptom improvement as well! Again, we appreciate your 5 star review and are here to support you through this journey!",0.27999999999999997,0.0017708333333333437
2024-09-12 19:29:35,Info for Lisa,Lisa,US,Verified,So far so good,5.0,2024-05-28T15:21:36.000Z,Well it’s been 10 weeks and so far the hot flashes have reduced down to almost nothing.  Night sweats are gone!  I am relieved for the first time in 5 years,28 May 2024,Reply from By Winona,2024-05-28T17:19:25.000Z,"That is so wonderful to hear, Lisa!Hot flashes and night sweats, are the worst! We are so happy you are finding the relief you were looking for. :)",0.10138888888888889,0.325
2024-09-12 19:29:35,Info for Monica,Monica,US,Verified,The cream did not work for me,1.0,2024-05-27T02:56:04.000Z,"The prescription I received was useless, it did not work, and waiting 10 weeks to receive any follow-up is just poor treatment. Would definitely not recommend this service.",27 March 2024,Reply from By Winona,2024-05-27T18:30:32.000Z,"Hi Monica!We are sorry you have not noticed results yet. It may take 90 days before you may notice the full benefits of your treatment plan. Sometimes, a dose adjustment may be needed in order to find that ""sweet spot"". We also want to mention that your doctor is available to you 7 days a week in the patient portal. Your doctor is always happy to answer your questions and address any concerns. There is no need to wait until the 10 week follow up. Additionally, we will be reaching out to you via email to offer you further support. Your well being and complete satisfaction, is of upmost importance to us!",-0.3,0.21785714285714283
2024-09-12 19:29:40,Info for Michelle Baker,Michelle Baker,US,Verified,Easy process with great results!,5.0,2024-05-21T17:37:54.000Z,"The entire process has been very easy to follow, yet thorough. After 10 weeks, I'm feel so much better!",20 May 2024,Reply from By Winona,2024-05-22T12:39:38.000Z,"Fantastic, Michelle!We love it when you have an easy experience with Winona, as we do everything we can to guide you seamlessly through the process.Congratulations on feeling better!  You deserve it!",0.39611111111111114,0.44291666666666674
2024-09-12 19:29:40,Info for KIMBERLY PATE,KIMBERLY PATE,US,Verified,I Feel Great,5.0,2024-05-20T14:21:15.000Z,"I was scared at first, but the doctor was reassuring. Now that I've been on it for 10 weeks I am sleeping, and I have no hot flashes at all. The prescription was just right and I feel great!",20 May 2024,Reply from By Winona,2024-05-21T13:05:51.000Z,"Utilizing an online platform for health care needs can be a little scary at first, Kimberly, but we are here for you every step of the way!  Our doctors work extra hard to establish rapport and provide clear and supportive care.  They want you to feel your best!You are more than deserving of good health and we are thankful that you chose Winona!",0.3526785714285714,0.19083333333333333
2024-09-12 19:29:40,Info for Maryanne,Maryanne,US,Verified,10 Week Check In,5.0,2024-05-20T00:15:11.000Z,"Winona helped me with my mood swings, libido, muscle aches and joint aches. I feel like myself again. I still have insomnia but I'm only 10 weeks in with the cream.My doctor responds very promptly to all my questions. I am very happy I found Winona.",19 May 2024,Reply from By Winona,2024-05-20T00:50:48.000Z,"Feeling like yourself if the best way to feel, Maryanne!You know your body best, and our Winona doctors work with you to find the best treatment plan to fit your unique symptoms. We are so thrilled to hear that your HRT is working to address some of the most bothersome symptoms now, but we are confident you will also be sleeping better as time goes on!Your trust in us is very much appreciated!",0.39999999999999997,0.6125
2024-09-12 19:29:42,Info for Brantlee Eisenman,Brantlee Eisenman,US,Verified,"There is a solution to menopause symptoms, Winona.",5.0,2024-05-16T22:55:14.000Z,"I came upon Winona via social media as most people. I was skeptical and worried, but couldn't take my symptoms any more. I have always been of the mindset, what can it hurt, so I filled out the quiz and got set up with cream (50/50 Prog) and pill (25 DHEA). I am 10 weeks in and can see a huge difference for the better. My hot flashes and sleepless nights have almost disappeared completely. The first week I thought my eyes had corrected. I felt like I could see things more clearly and mind mind was working. That has calmed down and I do still feel brain fog and exhaustion. I am waiting to hear back from the doc, but hoping for an increase in strength to see if I can capture that first week feeling for longer. I have not had any of the negative effects. I haven't loss any hair nor gained any weight. I am excited for the future, now. Just try it. You may be pleasantly surprised.",16 May 2024,Reply from By Winona,2024-05-17T11:53:26.000Z,"We are just as excited for your future too, Brantlee!Getting our bioidentical HRT through an online platform can be unsettling and a little scary at first to some women, but we are here to support you every step of the way.Our treatments are safe, economical, and most importantly, effective!They can also be adjusted to fit your particular symptoms, so we are hopeful that you will find even more benefits as you work with your Winona doctor to fine tune your treatment plan. Thank you for your trust in us!",0.17383040935672517,0.19464285714285715
2024-09-12 19:29:42,Info for angelatuzzio,angelatuzzio,US,Verified,This was like magic overnight,5.0,2024-05-16T02:48:31.000Z,This was like magic overnight! I had so much trouble sleeping through the night. One week of taking Winona I was sleeping all the way through the night! My hot flashes have subsided and are just baby flashes now at 10 weeks! I extremely happy that I have found help!!!!,01 May 2024,Reply from By Winona,2024-05-16T12:37:07.000Z,"Our bioidentical HRT may seem like magic, but it is really just your body taking a big sigh of relief, Angelatuzzio!We are very confident in the effectiveness of our HRT, but it is still amazing to us every time how just a little dose of hormones can put women back on the path to feeling their best!Thank you so much for the 5 stars!",0.421875,0.2515625
2024-09-12 19:29:44,Info for Mercedes,Mercedes,US,Verified,My experience has been excellent,5.0,2024-05-09T05:21:26.000Z,My experience has been excellent. My meno symptoms have definitely decreased and I am feeling so much better. It’s only been 10 weeks looking forward to the next few months.,08 May 2024,Reply from By Winona,2024-05-09T12:43:12.000Z,"Excellency is a standard we strive to maintain, Mercedes!Providing service worthy of 5 stars is the expectation with every patient.We are so happy that you are feeling better now!",0.15000000000000002,0.4395833333333333
2024-09-12 19:29:44,Info for Lisa M,Lisa M,US,Verified,Good improvement!! 😊Some of my symptoms that I had been…,4.0,2024-05-08T17:04:40.000Z,"Some of my symptoms that I had been experiencing before starting HRT, were Hot flashes and vaginal dryness and dry skin. I have seen a great improvement in know hot flashes at night time, and my overall dryness has improved after 10 weeks into the HRT! Hopefully with continue use my fatigue and brain fog will improve as well! Overall I have had good results so far!",01 May 2024,Reply from By Winona,2024-05-08T20:18:49.000Z,"This is great news, Lisa, and we are so happy for you!Its amazing how a little bit of HRT can manage those hot flashes and skin changes!We do encourage women to give it about 3 months to see positive changes, as it will take time for your body to adapt to the influx of hormones.  However, the perk of individualized therapy is that it can be adjusted if you continue to have bothersome symptoms!We see that you just completed your Follow Up and your doctor has left you a message in your Patient Portal. Please continue to work closely with them, as they are happy to support you and find the right treatment plan that works for you!",0.22870370370370374,0.40521284271284275
2024-09-12 19:29:44,Info for Melanie,Melanie,US,Verified,10 week treatment completed,5.0,2024-05-07T20:56:00.000Z,"Doctor is responsive, and willing to answer any and all questions I had about the treatment. Just completed 10 weeks of treatment and am waiting to hear if she recommends any changes to treatment plan",07 May 2024,Reply from By Winona,2024-05-08T12:29:23.000Z,"Ongoing support is a key factor in managing your symptoms, Melanie!The menopause transition and symptoms can change over time.One of the perks of a Winona HRT treatment plan is that we can adjust to those bumps in the road and keep you on track to feeling great!Your Winona doctor is always available for support and guidance.Thank you for the 5 stars!",0.25,0.25
2024-09-12 19:29:51,Info for Maddz ,Maddz,US,Verified,Total attitude changer!,5.0,2024-04-26T05:35:29.000Z,"I started with Winona 10 weeks ago.  I was gaining weight, lack of energy, mood swings, hot flashes.  Up until 2 years ago I was able to control the weight with diet and exercise and now it is out of control.  Since I started with Winona. My weight is steady, mood swings have leveled out and feel like my emotions are under control.  The FB groups have been really helpful and Dr. Is super responsive to my needs.  Will looking for more positive changes in next 90 days.",12 February 2024,Reply from By Winona,2024-04-26T12:44:44.000Z,"Keep going, Maddz!It sounds like you were experiencing some very common, and intense, menopause symptoms, so we are glad to hear that you are starting to feel better now!We understand it is very frustrating that the things we used to do in our younger years to maintain our health, no longer work during the menopause transition....especially concerning weight and body composition.HRT is not a weight loss drug, per se, but it can help to slow that menopausal weight gain and help you to feel better so that you can address it head on. We are also glad to hear that you are finding support in our Winona Women's group and your Winona doctor!Support means a lot during these often chaotic years, and we are happy to support you!",0.2721590909090909,0.1809090909090909
2024-09-12 19:29:53,Info for Christie Marie E. Russell,Christie Marie E. Russell,US,Verified,Feeling Good and healthy again is such a gift!,5.0,2024-04-24T17:51:45.000Z,I'm about 10 weeks into my prescription of Winona and so far I feel way better. My hot flashes are gone and my muscle tone and energy are coming back. Sleeping better and feeling sexy again. Thank You Winona!,24 April 2024,Reply from By Winona,2024-04-24T23:29:45.000Z,"Thank you for sharing your feedback, Christie! We understand that you deserve to look and feel your best, which is just one of many reasons why we are here to help! We are here for you 7 days a week if you need us. :)",0.32916666666666666,0.7083333333333334
2024-09-12 19:29:53,Info for Betty,Betty,US,Verified,I am 10 weeks in,5.0,2024-04-21T23:55:33.000Z,I am 10 weeks in and already feeling so much better. Looking forward to seeing what’s next now that I have more energy.,20 April 2024,Reply from By Winona,2024-04-22T12:59:00.000Z,"The menopause transition happens slowly over time, so women often don't realize how bad they feel until they start to feel better. It may take your body around 3 months to adjust to the influx of hormones, so it appears that you are right on track, Betty!Keep going, as we are confident that you will continue to feel even better in the coming months!",0.3333333333333333,0.1517857142857143
2024-09-12 19:29:59,Info for Morgan Jarred,Morgan Jarred,US,Verified,Trust the Process,5.0,2024-04-14T04:12:34.000Z,"I feel like menopause hit me over night. One minute I was at the top of my athletic career , the next minute I have all these weird injuries, I have no endurance and I standing in the mirror, asking myself ""where did all this body fat come from?"" I was having at least 10-15 hot flashes a day and night sweats were 1.5- 2 hrs apart, my sleep was horrible , so after about 4 hrs of interrupted sleep, why bother anymore, I would just get up and start another long day . Then after some research and having that talk with myself - I decided to give Winona a try.  I joined the face book group and read postings everyday, It helped me stay the course when I felt like it wasn't working at times.  So my advise is stay the course, they suggest give it 8-10 weeks. Be patient, this is a whole new you. I am at 10 weeks and I am sleeping so hard. I wake up so refreshed. My night sweats havens been around for about 4 weeks now, I only get a hot flash from time to time but I have found some food triggers them . My evil now is chocolate, hot sauce and fried foods. The DHEA makes me feel like the energizer bunny when I take it mid morning. I'm still trying to adjust my macros/ meals and timings to see what works best for me now as the DHEA suppresses my appetite- Cream at night before bed.  My weight training is going well- lifting heavier. I love cardio so that's getting better again. I did gain 8lbs it seemed like over night - working on that both mentally and physically.  I do feel there is a light at the end of the tunnel and I will get back to my ole self with the help of Winona products.",13 April 2024,Reply from By Winona,2024-04-15T13:19:44.000Z,"Thanks for sharing your experience, Morgan!As you discovered, even when you eat all the right things and work out consistently, menopause symptoms can still throw you for a loop!What worked before does not help at all, and it can feel like your body is betraying you!We love that you are finding a whole new you and that you are listening to your body's cues about what it does and does not like. Starting HRT can definitely give your body the hormone balance that it is craving, but we must still do our part to work with it, and you are doing fantastic! We applaud your self-awareness and commitment to yourself!",0.02368247694334651,0.24411976911976913
2024-09-12 19:29:59,Info for Jeanette,Jeanette,US,Verified,Just finished 10 weeks of treatment- my…,5.0,2024-04-13T21:54:21.000Z,Just finished 10 weeks of treatment- my symptoms are completely gone!! I’m on the estrogen and progesterone pills- not using the DHEA at this point- Absolutely thrilled with my experience.,13 April 2024,Reply from By Winona,2024-04-14T01:38:22.000Z,"""Gone"" is a beautiful word, Jeanette, when it comes to peri and menopause symptoms!We are thrilled that you are thrilled, and are confident you will continue to feel great!Your Winona doctor is available for support if you need to adjust your treatment plan in the future, or if you wish to start the DHEA. Thank you for trusting us with your HRT!",0.378125,0.49166666666666664
2024-09-12 19:30:06,Info for Tara,Tara,US,Verified,This has been life changing for me,5.0,2024-04-02T14:31:10.000Z,"This has been life changing for me. All my symptoms are gone. I did need to have my dosage increased right before 10 weeks because some symptoms started to come back, the increase took them away again. I am very happy with this product and the whole experience.",26 March 2024,Reply from By Winona,2024-04-03T12:50:50.000Z,"Being able to customize and adjust your HRT treatment plan to fit your symptoms is one of the biggest perks of using Winona, Tara!Each woman is different and will have a different journey through menopause.Even your own personal journey can change over time as your hormone levels continue to fluctuate and produce different symptoms. HRT can be the safety net you need to keep those debilitating symptoms at bay!Thank you so much for trusting us with  your HRT!",0.3714285714285714,0.19444444444444445
